FIELD_NAME,FIELD_DESC,del_ind
acct_assignment_category,Account Assignment Category,0
activate,activate,0
address_type,address type desc,0
approval_type,Approval type,0
attribute_id,Org Attributes,0
AUTH_001,AUTH_001,0
auth_level,Authorization  level,0
auth_obj_grp,Authorization Group,0
auth_obj_id,Authorization object id,0
auth_type,Authorization Type,0
document_type,Document Type,0
incoterm,Incoterms,0
messages_id,Message Id,0
messages_type,Type of the Message,0
org_node_types,Org Node Type,0
Priority,Org announcement priority,0
roles,Roles,0
split_type,Split type description,0
status,Org announcement status,0
sys_attr_type,system settings attribute type,0
user_type,user type desc,0
workflow_schema,workflow_schema,0
