SYSTEM_SETTINGS_CONFIG_GUID,SYS_ATTR_TYPE,SYS_ATTR_VALUE,del_ind
"111111111","ACCOUNT_ASSIGNMENT_CATEGORY","1","0"
"111111122","ACCOUNT_ASSIGNMENT_CATEGORY","0","0"
"1234567","PWD_POLICY","No Password Policy","1","0"
"123456744","PWD_POLICY","[A-Za-z0-9]{8,16}_Should consist of the following Minimum length - 8 characters long Atleast one numeric value(0-9) Atleast one Upper case(A-Z) and one lower case values(a-z)","0","0"
"123456788","PWD_POLICY","[a-z0-9]{8,16}_Should consist of the following Minimum length - 8 characters long Atleast one numeric value.Atleast one lowercase","0","0"
"123457744","CHANGE_SHIPPING_ADDRESS","0","0"
"123457755","FREQUENTLY_PURCHASED_ITEMS","0","0"
"123457756","CHANGE_SHIPPING_ADDRESS","1","0"
"123457757","FREQUENTLY_PURCHASED_ITEMS","1","0"
"123457758","RECENTLY_VIEWED_ITEMS","1","0"
"1234577588","RECENTLY_VIEWED_ITEMS","0","0"
"123457766","EDIT_ADDRESS","1","0"
"123457777","PURCHASE_GROUPS","0","0"
"123457788","PURCHASE_GROUPS","1","0"
"123457799","EDIT_ADDRESS","0","0"
"22222222","PWD_POLICY","[A-Za-z0-9!@#%]{8,16}_Should consist of the following Minimum length - 8 characters long Atleast one numeric value (0-9) Atleast one Upper case and one lower case values (A-Z)(a-z) Atleast one special character (!@#%)","0","0"
"22222233","LIMIT_ITEM","0","0"
"2222223356","LIMIT_ITEM","1","0"
"22222255","ADD_TO_FAVOURITES","1","0"
"22222266","ADD_TO_FAVOURITES","0","0"
"33333333","LOGIN_ATTEMPTS","3","0"
"33333388","LOGIN_ATTEMPTS","6","0"
